seasons,price,id,sale
winter,240000.0,7895500070,312000.0
winter,240000.0,7895500070,312000.0
winter,240000.0,7895500070,312000.0
spring,204900.0,5706600170,225390.00000000003
spring,204900.0,5706600170,266370.0
spring,204900.0,5706600170,225390.00000000003
autumn,215500.0,3599600276,280150.0
autumn,215500.0,3599600276,280150.0
autumn,215500.0,3599600276,237050.00000000003
summer,235500.0,5152600090,306150.0
autumn,425000.0,2425700022,552500.0
autumn,480000.0,6205500030,624000.0
autumn,480000.0,6205500030,528000.0
spring,675500.0,324059112,878150.0
spring,675500.0,324059112,878150.0
summer,365000.0,5175800060,401500.00000000006
summer,365000.0,5175800060,474500.0
spring,547500.0,6072760390,711750.0
spring,547500.0,6072760390,711750.0
spring,380000.0,2206900065,418000.00000000006
spring,380000.0,2206900065,494000.0
autumn,270000.0,1726059053,351000.0
spring,80000.0,8658300340,88000.0
spring,80000.0,8658300340,88000.0
summer,396400.0,3626079032,515320.0
summer,396400.0,3626079032,515320.0
spring,190000.0,3326079016,247000.0
spring,190000.0,3326079016,209000.00000000003
summer,119500.0,3821200050,131450.0
summer,119500.0,3821200050,155350.0
spring,375000.0,2126079124,487500.0
spring,375000.0,2126079124,487500.0
spring,188000.0,9264901680,244400.0
spring,188000.0,9264901680,244400.0
spring,188000.0,9264901680,244400.0
winter,135000.0,5560000650,148500.0
winter,135000.0,5560000650,148500.0
winter,135000.0,5560000650,148500.0
summer,150000.0,3089000005,165000.0
summer,150000.0,3089000005,165000.0
summer,150000.0,3089000005,165000.0
winter,233000.0,3279000420,302900.0
winter,233000.0,3279000420,302900.0
winter,233000.0,3279000420,302900.0
summer,213000.0,8732130940,276900.0
summer,213000.0,8732130940,276900.0
summer,213000.0,8732130940,276900.0
winter,176000.0,7428000120,193600.00000000003
winter,176000.0,7428000120,193600.00000000003
winter,176000.0,7428000120,228800.0
spring,200000.0,1324079029,260000.0
spring,200000.0,1324079029,260000.0
autumn,142000.0,3980300371,184600.0
autumn,142000.0,3980300371,156200.0
winter,460000.0,1924079091,598000.0
winter,196000.0,2570600140,254800.0
spring,175000.0,1922059298,227500.0
spring,535000.0,3886902445,588500.0
spring,535000.0,3886902445,695500.0
winter,429000.0,2128000160,471900.00000000006
winter,429000.0,2128000160,557700.0
spring,619500.0,3885808035,805350.0
spring,619500.0,3885808035,805350.0
winter,305000.0,1233100351,335500.0
winter,305000.0,1233100351,335500.0
spring,800000.0,3623500135,1040000.0
spring,800000.0,3623500135,1040000.0
summer,623000.0,5459500165,685300.0
summer,623000.0,5459500165,809900.0
spring,157340.0,3422059085,173074.0
spring,157340.0,3422059085,173074.0
spring,157340.0,3422059085,173074.0
